respondent_id	timestamp	question	answer
R01	2026-07-02T09:33:53.043160+00:00	ai_usage	Daily
R02	2026-07-02T09:34:09.849306+00:00	ai_usage	Daily
R01	2026-07-02T09:34:10.815193+00:00	ai_tools	"[""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R03	2026-07-02T09:34:10.864667+00:00	ai_usage	Daily
R04	2026-07-02T09:34:11.454972+00:00	ai_usage	Daily
R05	2026-07-02T09:34:12.500282+00:00	ai_usage	A few times a week
R04	2026-07-02T09:34:13.065232+00:00	ai_tools	"[""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R03	2026-07-02T09:34:18.896492+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R02	2026-07-02T09:34:20.638200+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R04	2026-07-02T09:34:22.566451+00:00	autonomy_trust	About 75%
R05	2026-07-02T09:34:25.079088+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R06	2026-07-02T09:34:26.994002+00:00	ai_usage	A few times a week
R07	2026-07-02T09:34:29.146028+00:00	ai_usage	Daily
R08	2026-07-02T09:34:29.875526+00:00	ai_usage	Daily
R09	2026-07-02T09:34:30.726024+00:00	ai_usage	Daily
R10	2026-07-02T09:34:31.145814+00:00	ai_usage	Daily
R11	2026-07-02T09:34:32.476469+00:00	ai_usage	Daily
R12	2026-07-02T09:34:35.259438+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R13	2026-07-02T09:34:35.693531+00:00	ai_usage	Daily
R14	2026-07-02T09:34:36.430870+00:00	ai_usage	Daily
R07	2026-07-02T09:34:36.608932+00:00	ai_tools	"[""ChatGPT"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R05	2026-07-02T09:34:37.212846+00:00	autonomy_trust	About 50%
R14	2026-07-02T09:34:38.256832+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R02	2026-07-02T09:34:38.704445+00:00	autonomy_trust	About 75%
R14	2026-07-02T09:34:39.761978+00:00	autonomy_trust	About 50%
R11	2026-07-02T09:34:40.256331+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R04	2026-07-02T09:34:42.617338+00:00	verify_output	If the underlying data is wrong, the results may not be valid
R03	2026-07-02T09:34:43.785697+00:00	autonomy_trust	About 75%
R10	2026-07-02T09:34:44.835808+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R15	2026-07-02T09:34:45.422946+00:00	ai_usage	Daily
R13	2026-07-02T09:34:46.035445+00:00	ai_tools	"[""ChatGPT"",""Claude""]"
R12	2026-07-02T09:34:46.308374+00:00	autonomy_trust	About 50%
R16	2026-07-02T09:34:46.711609+00:00	ai_usage	Daily
R15	2026-07-02T09:34:46.973413+00:00	ai_tools	"[""ChatGPT"",""Claude""]"
R17	2026-07-02T09:34:47.148744+00:00	ai_usage	Daily
R16	2026-07-02T09:34:49.151076+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R18	2026-07-02T09:34:49.320107+00:00	ai_usage	Daily
R19	2026-07-02T09:34:49.537530+00:00	ai_usage	Daily
R12	2026-07-02T09:34:50.230546+00:00	verify_output	Since income is usually right-skewed, normality may not apply
R09	2026-07-02T09:34:50.289405+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R07	2026-07-02T09:34:51.059372+00:00	autonomy_trust	About 25%
R20	2026-07-02T09:34:51.086885+00:00	ai_usage	A few times a week
R06	2026-07-02T09:34:51.134899+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R21	2026-07-02T09:34:51.456503+00:00	ai_usage	Daily
R14	2026-07-02T09:34:51.510028+00:00	verify_output	Since income is usually right-skewed, normality may not apply
R22	2026-07-02T09:34:51.558591+00:00	ai_usage	Daily
R23	2026-07-02T09:34:52.491339+00:00	ai_usage	Daily
R24	2026-07-02T09:34:53.209198+00:00	ai_usage	Daily
R01	2026-07-02T09:34:53.625161+00:00	autonomy_trust	About 25%
R25	2026-07-02T09:34:53.873451+00:00	ai_usage	Daily
R26	2026-07-02T09:34:54.104341+00:00	ai_usage	Daily
R23	2026-07-02T09:34:54.209601+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R27	2026-07-02T09:34:54.658696+00:00	ai_usage	Daily
R24	2026-07-02T09:34:54.864791+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R28	2026-07-02T09:34:54.990367+00:00	ai_usage	Daily
R29	2026-07-02T09:34:54.991225+00:00	ai_usage	Daily
R30	2026-07-02T09:34:55.248422+00:00	ai_usage	Daily
R31	2026-07-02T09:34:55.968001+00:00	ai_usage	Daily
R26	2026-07-02T09:34:55.969332+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R32	2026-07-02T09:34:56.054596+00:00	ai_usage	Daily
R33	2026-07-02T09:34:56.148488+00:00	ai_usage	A few times a week
R34	2026-07-02T09:34:57.349335+00:00	ai_usage	Daily
R33	2026-07-02T09:34:57.456748+00:00	ai_tools	"[""ChatGPT"",""Claude"",""A coding agent (Copilot / Codex / Claude Code)""]"
R18	2026-07-02T09:34:57.828926+00:00	ai_tools	"[""ChatGPT"",""Claude""]"
R29	2026-07-02T09:34:57.940953+00:00	ai_tools	"[""ChatGPT""]"
R35	2026-07-02T09:34:57.941912+00:00	ai_usage	Daily
R17	2026-07-02T09:34:58.840364+00:00	ai_tools	"[""ChatGPT"",""Claude""]"
R34	2026-07-02T09:34:59.294254+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""Perplexity""]"
R36	2026-07-02T09:34:59.496194+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R37	2026-07-02T09:34:59.945932+00:00	ai_usage	Daily
R15	2026-07-02T09:35:00.081407+00:00	autonomy_trust	About 25%
R20	2026-07-02T09:35:00.878735+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R19	2026-07-02T09:35:00.888607+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R36	2026-07-02T09:35:01.301036+00:00	ai_usage	Daily
R34	2026-07-02T09:35:01.427181+00:00	autonomy_trust	0% — I verify every step myself
R25	2026-07-02T09:35:01.436267+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini"",""A coding agent (Copilot / Codex / Claude Code)""]"
R38	2026-07-02T09:35:01.628151+00:00	ai_usage	Daily
R39	2026-07-02T09:35:02.072035+00:00	ai_usage	Daily
R22	2026-07-02T09:35:02.124626+00:00	ai_tools	"[""ChatGPT"",""Claude"",""Gemini""]"
R27	2026-07-02T09:35:02.367874+00:00	ai_tools	"[""ChatGPT"",""Claude""]"
